DayKey,DayName,StartTime,EndTime,SubjectName,ActivityType
day1,6/26 星期五,08:10,08:50,自習 (40分),study
day1,6/26 星期五,08:50,09:00,下課 (10分),break
day1,6/26 星期五,09:00,10:00,數學 (60分),exam
day1,6/26 星期五,10:00,10:10,下課 (10分),break
day1,6/26 星期五,10:10,10:40,自習 (30分),study
day1,6/26 星期五,10:40,10:55,下課 (15分),break
day1,6/26 星期五,10:55,11:45,作文 (50分),exam
day1,6/26 星期五,11:45,13:05,中午休息 (80分),break
day1,6/26 星期五,13:05,13:50,自習 (45分),study
day1,6/26 星期五,13:50,14:00,下課 (10分),break
day1,6/26 星期五,14:00,15:00,英文 (60分),exam
day1,6/26 星期五,15:00,15:10,下課 (10分),break
day1,6/26 星期五,15:10,15:40,自習 (30分),study
day1,6/26 星期五,15:40,15:50,放學時間,end
day2,6/29 星期一,08:10,08:40,自習 (30分),study
day2,6/29 星期一,08:40,08:50,下課 (10分),break
day2,6/29 星期一,08:50,09:50,國文 (60分),exam
day2,6/29 星期一,09:50,10:00,下課 (10分),break
day2,6/29 星期一,10:00,10:30,自習 (30分),study
day2,6/29 星期一,10:30,10:45,下課 (15分),break
day2,6/29 星期一,10:45,11:45,社會 (60分),exam
day2,6/29 星期一,11:45,13:05,中午休息 (80分),break
day2,6/29 星期一,13:05,13:50,自習 (45分),study
day2,6/29 星期一,13:50,14:00,下課 (10分),break
day2,6/29 星期一,14:00,14:30,自習 (30分),study
day2,6/29 星期一,14:30,14:40,下課 (10分),break
day2,6/29 星期一,14:40,15:40,自然 (60分),exam
day2,6/29 星期一,15:40,15:50,放學時間,end
